date,F1,F2,F3,F4,F5,OT
2020-01-01 00:00:00,0.21634615384615385,0.22807017543859645,0.49358974358974367,0.2222222222222222,0.30400000000000005,0.26294052863436124
2020-01-01 01:00:00,0.1923076923076923,0.3333333333333333,0.4294871794871795,0.1851851851851852,0.24,0.2009911894273127
2020-01-01 02:00:00,0.2019230769230769,0.3333333333333333,0.4423076923076923,0.18518518518518517,0.23599999999999993,0.20374449339207046
2020-01-01 03:00:00,0.18910256410256407,0.43859649122807004,0.3846153846153846,0.1851851851851852,0.17866666666666667,0.1683186490455212
2020-01-01 04:00:00,0.173076923076923,0.4035087719298245,0.3525641025641027,0.1851851851851852,0.152,0.1294052863436123
2020-01-01 05:00:00,0.2307692307692308,0.25438596491228066,0.5032051282051283,0.2222222222222222,0.28400000000000003,0.24008810572687225
2020-01-01 06:00:00,0.19711538461538464,0.3421052631578947,0.4222756410256411,0.19907407407407407,0.23,0.1941767621145374
2020-01-01 07:00:00,0.1634615384615385,0.4298245614035087,0.3413461538461539,0.17592592592592593,0.176,0.14826541850220257
2020-01-01 08:00:00,0.18269230769230776,0.4122807017543859,0.3717948717948718,0.20370370370370372,0.20800000000000002,0.1891519823788546
2020-01-01 09:00:00,0.2596153846153847,0.3859649122807017,0.391025641025641,0.2592592592592592,0.168,0.1167400881057268
2020-01-01 10:00:00,0.20673076923076922,0.5877192982456141,0.3237179487179488,0.20370370370370372,0.132,0.1247246696035242
2020-01-01 11:00:00,0.21794871794871792,0.2865497076023391,0.40811965811965817,0.2098765432098765,0.25333333333333335,0.23513215859030834
2020-01-01 12:00:00,0.5192307692307694,0.1403508771929824,0.5000000000000001,0.2962962962962963,0.456,0.3909691629955947
2020-01-01 13:00:00,0.49038461538461536,0.1666666666666666,0.46794871794871806,0.25925925925925924,0.41200000000000003,0.3582048458149779
2020-01-01 14:00:00,0.548076923076923,0.1052631578947368,0.5064102564102565,0.2592592592592592,0.488,0.4509911894273128
2020-01-01 15:00:00,0.5576923076923076,0.12280701754385959,0.5416666666666667,0.27777777777777773,0.588,0.5602973568281938
2020-01-01 16:00:00,0.2596153846153847,0.3157894736842105,0.4038461538461538,0.2592592592592592,0.368,0.3359030837004405
2020-01-01 17:00:00,0.1826923076923077,0.2982456140350876,0.4102564102564102,0.1851851851851852,0.328,0.2940528634361233
2020-01-01 18:00:00,0.3942307692307692,0.1929824561403508,0.47115384615384626,0.2407407407407407,0.364,0.32984581497797355
2020-01-01 19:00:00,0.2692307692307692,0.30994152046783624,0.4107905982905983,0.21913580246913578,0.29933333333333334,0.26523494860499264
2020-01-01 20:00:00,0.1442307692307692,0.4269005847953216,0.35042735042735035,0.19753086419753085,0.23466666666666666,0.2006240822320117
2020-01-01 21:00:00,0.2403846153846154,0.2982456140350876,0.3782051282051281,0.2222222222222222,0.24,0.204295154185022
2020-01-01 22:00:00,0.19871794871794876,0.3216374269005848,0.3525641025641026,0.1728395061728395,0.19733333333333333,0.17107195301027892
2020-01-01 23:00:00,0.4711538461538462,0.2105263157894736,0.4871794871794873,0.3333333333333333,0.448,0.4135462555066079
2020-01-02 00:00:00,0.375,0.087719298245614,0.5512820512820514,0.3703703703703703,0.5119999999999999,0.4642070484581497
2020-01-02 01:00:00,0.5048076923076923,0.175438596491228,0.45833333333333337,0.27777777777777773,0.45599999999999996,0.45732378854625555
2020-01-02 02:00:00,0.5192307692307692,0.2280701754385964,0.4444444444444444,0.25925925925925924,0.4666666666666666,0.45998531571218787
2020-01-02 03:00:00,0.43990384615384615,0.2587719298245613,0.44177350427350426,0.25925925925925924,0.42733333333333334,0.40799375917767977
2020-01-02 04:00:00,0.36057692307692313,0.2894736842105262,0.4391025641025641,0.25925925925925924,0.388,0.35600220264317173
2020-01-02 05:00:00,0.3173076923076923,0.2280701754385964,0.4423076923076923,0.2407407407407407,0.40800000000000003,0.40005506607929514
2020-01-02 06:00:00,0.3173076923076923,0.2631578947368421,0.4551282051282052,0.2962962962962963,0.392,0.3348017621145374
2020-01-02 07:00:00,0.39903846153846156,0.21052631578947362,0.3653846153846154,0.2222222222222222,0.44799999999999995,0.4752202643171806
2020-01-02 08:00:00,0.2596153846153846,0.2105263157894736,0.42307692307692313,0.20370370370370372,0.4,0.3860132158590308
2020-01-02 09:00:00,0.4615384615384616,0.1578947368421052,0.6025641025641025,0.3333333333333333,0.5119999999999999,0.4229074889867841
2020-01-02 10:00:00,0.6298076923076923,0.1578947368421052,0.5512820512820513,0.2962962962962963,0.5279999999999999,0.4743942731277533
2020-01-02 11:00:00,0.4774038461538461,0.18070175438596484,0.4935897435897436,0.2703703703703703,0.4808,0.45057819383259906
2020-01-02 12:00:00,0.325,0.20350877192982447,0.43589743589743585,0.24444444444444438,0.43360000000000004,0.42676211453744484
2020-01-02 13:00:00,0.3076923076923076,0.1578947368421052,0.4807692307692308,0.2592592592592592,0.456,0.3970264317180616
2020-01-02 14:00:00,0.5240384615384616,0.1578947368421052,0.5801282051282052,0.2962962962962963,0.5599999999999999,0.4617290748898678
2020-01-02 15:00:00,0.42307692307692313,0.2105263157894736,0.46474358974358976,0.27777777777777773,0.43200000000000005,0.3626101321585903
2020-01-02 16:00:00,0.3028846153846155,0.1929824561403508,0.42307692307692313,0.24074074074074076,0.43599999999999994,0.411068281938326
2020-01-02 17:00:00,0.3173076923076923,0.1578947368421052,0.6025641025641025,0.3333333333333333,0.376,0.2863436123348017
2020-01-02 18:00:00,0.14423076923076927,0.2982456140350877,0.3717948717948718,0.20370370370370372,0.26,0.20044052863436118
